,positionName,companyShortName,companySize,industryField,financeStage,companyLabelList,firstType,secondType,thirdType,city,district,salary,salaryMonth,workYear,jobNature,education,positionAdvantage,latitude,longitude,neededSkills
13,数据分析师,知网,2000人以上,"移动互联网,电商",上市公司,"['美女多多', '带薪年假', '绩效奖金', '岗位晋升']",产品|需求|项目类,数据分析,数据分析,北京,海淀区,7k-11k,0,在校/应届,全职,硕士,"期刊评价,大数据分析,咨询服务,待遇从优",40.048024,116.355789,"['大数据', '数据分析', '新闻|出版']"
14,数据分析师,开思时代,500-2000人,"电商,汽车丨出行",C轮,[],产品|需求|项目类,产品经理,数据分析师,深圳,龙岗区,10k-20k,13,3-5年,全职,本科,福利多 晋升空间大,22.630206,114.068214,['数据分析']
0,数据分析师,开思时代,500-2000人,"电商,汽车丨出行",C轮,[],产品|需求|项目类,产品经理,数据分析师,深圳,龙岗区,10k-20k,13,3-5年,全职,本科,福利多 晋升空间大,22.630206,114.068214,['数据分析']
1,数据分析师,微财数科,500-2000人,金融,未融资,"['五险一金', '交通补助', '带薪年假', '定期体检']",产品|需求|项目类,产品经理,数据分析师,北京,昌平区,15k-25k,14,3-5年,全职,本科,"团队氛围好,发展潜力大",40.207746,116.286250,['数据分析']
2,数据分析师,VHS 好人生,50-150人,医疗丨健康,C轮,"['节日礼物', '技能培训', '绩效奖金', '年度旅游']",开发|测试|运维类,数据开发,数据分析,上海,长宁区,10k-15k,0,1-3年,全职,硕士,"六险一金,周末双休,EAP服务",31.217560,121.417920,"['医疗健康', '大数据', '数据分析']"
3,数据分析师,VHS 好人生,50-150人,医疗丨健康,C轮,"['节日礼物', '技能培训', '绩效奖金', '年度旅游']",开发|测试|运维类,数据开发,数据分析,上海,长宁区,15k-30k,0,1年以下,全职,硕士,朝阳行业，核心岗位,31.217560,121.417920,"['医疗健康', '大数据', '数据分析']"
4,数据分析师,信永中和,2000人以上,企业服务,不需要融资,"['带薪年假', '定期体检', '美女多', '扁平管理']",产品|需求|项目类,数据分析,数据分析,北京,东城区,10k-15k,0,1-3年,全职,本科,"环境好,不加班,大公司",39.930762,116.435465,"['企业服务', '大数据', 'BI', '可视化']"
5,数据分析,北银消费,150-500人,金融,不需要融资,"['节日礼物', '技能培训', '绩效奖金', '岗位晋升']",开发|测试|运维类,数据开发,数据分析,北京,海淀区,15k-20k,14,1-3年,全职,本科,公司平台稳定 发展潜力巨大,39.981363,116.317222,"['算法工程师', '互联网金融', '消费金融', '数据挖掘']"
6,数据分析师,FOTILE方太,2000人以上,"移动互联网,电商",不需要融资,"['节日礼物', '培训发展', '年度旅游', '岗位晋升']",产品|需求|项目类,产品经理,数据分析师,宁波,慈溪市,10k-20k,0,5-10年,全职,本科,IT 信息技术 包住,30.314539,121.316810,"['新零售', '数据分析', 'B端产品']"
7,数据分析,火币网,2000人以上,金融,不需要融资,"['红杉资本', '实现跨境支付', '优秀指导人', '自由货币']",产品|需求|项目类,数据分析,数据分析,北京,海淀区,30k-40k,13,3-5年,全职,本科,行业大牛，完善的福利，晋升空间,40.049953,116.284706,['数据分析']
8,数据分析师,汇信科技,150-500人,"移动互联网,电商",未融资,"['节日礼物', '带薪年假', '岗位晋升', '美女多']",产品|需求|项目类,数据分析,数据分析,杭州,拱墅区,15k-20k,0,3-5年,全职,本科,自主的工作，一流的福利,30.275352,120.154433,"['大数据', '数据分析', '企业服务']"
9,数据分析师,绝味食品,2000人以上,"电商,广告营销",上市公司,[],产品|需求|项目类,产品经理,数据分析师,长沙,芙蓉区,7k-12k,0,3-5年,全职,本科,五险一金，双休，培训,28.209023,113.018920,"['新零售', '数据分析']"
10,数据分析师,幸福消费金融,150-500人,"移动互联网,金融",不需要融资,"['交通补助', '通讯津贴', '午餐补助', '绩效奖金']",开发|测试|运维类,数据开发,数据分析,北京,朝阳区,23k-35k,0,5-10年,全职,本科,待遇好，有发展,39.896710,116.460635,"['银行', '互联网金融', '数据分析', '数据处理']"
11,数据分析师,联邦车网,150-500人,"移动互联网,消费生活",不需要融资,"['年底双薪', '绩效奖金', '带薪年假', '定期体检']",产品|需求|项目类,产品经理,数据分析师,广州,海珠区,8k-12k,0,1-3年,全职,本科,周末双休、五险一金、节日福利,23.094888,113.382897,"['SPSS', '数据分析', 'SQL']"
12,数据分析,KLOOK 客路旅行,500-2000人,旅游,D轮及以上,"['扁平管理', '国际化团队', '旅游基金', '定期体检']",运营|编辑|客服类,运营,数据运营,深圳,福田区,20k-30k,0,5-10年,全职,本科,独角兽；D+轮融资,22.533416,114.030246,"['电商', '数据分析']"
13,数据分析,婚礼纪,500-2000人,消费生活,D轮及以上,"['六险一金', '快乐高效文化', '绩效奖金', '信任']",开发|测试|运维类,数据开发,数据分析,杭州,西湖区,10k-20k,14,3-5年,全职,本科,六险一金 带薪年假 多次调薪 周末双休,30.287650,120.112550,"['Hadoop', 'Spark', '广告营销', '数仓建模', '本地生活', 'MySQL']"
14,数据分析师,方纬科技,50-150人,移动互联网,不需要融资,"['年底双薪', '节日礼物', '绩效奖金', '年度旅游']",产品|需求|项目类,产品经理,数据分析师,宿迁,宿城区,4k-8k,14,不限,全职,本科,六险一金 年终奖金 节日福利 高温补贴,33.956493,118.226158,['数据分析']
0,数据分析师（数据建设及管理方向）-【商业化】,快手,2000人以上,文娱丨内容,D轮及以上,"['股票期权', '弹性工作', '定期体检', '岗位晋升']",产品|需求|项目类,数据分析,业务运营,北京,海淀区,20k-40k,0,3-5年,全职,本科,"大平台,发展快",39.904030,116.407526,['数据分析']
1,数据分析讲师,拉勾网,500-2000人,企业服务,D轮及以上,"['五险一金', '弹性工作', '带薪年假', '免费两餐']",开发|测试|运维类,数据开发,数据分析,北京,海淀区,25k-50k,16,不限,全职,本科,福利待遇好，发展前景好,39.982128,116.307747,"['MySQL', '数据分析', 'Python']"
2,数据分析导师,拉勾网,500-2000人,企业服务,D轮及以上,"['五险一金', '弹性工作', '带薪年假', '免费两餐']",产品|需求|项目类,数据分析,数据分析,北京,海淀区,10k-15k,13,1-3年,全职,本科,七险一金，弹性工作制，领导nice,39.982128,116.307747,"['教育', '数据分析']"
3,数据分析师,云汉芯城,500-2000人,电商,C轮,"['节日礼物', '岗位晋升', '技能培训', '领导好']",产品|需求|项目类,产品经理,数据分析师,上海,松江区,13k-20k,0,3-5年,全职,本科,五险一金 晋升空间 周末双休 绩效奖金,31.093229,121.325026,"['python', 'sql', '数据分析', '电商', 'BI']"
4,销售数据分析,美团,2000人以上,消费生活,上市公司,"['技能培训', '绩效奖金', '岗位晋升', '领导好']",运营|编辑|客服类,运营,数据运营,北京,朝阳区,15k-30k,0,不限,全职,本科,行业发展前景好，团队规模大,40.008007,116.487760,"['移动互联网', '电商', '电商运营', '数据分析']"
5,高级数据分析师_业务分析方向,百布,500-2000人,移动互联网,D轮及以上,"['行业翘首', '扁平管理', '领导NICE', '美女多']",产品|需求|项目类,数据分析,商业,广州,海珠区,18k-35k,0,5-10年,全职,本科,"不打卡,五险一金,扁平化管理,氛围轻松；",23.077989,113.327504,"['商业', '数据运营', '数据分析', '增长黑客']"
6,到店技术-数据分析师,美团,2000人以上,消费生活,上市公司,"['技能培训', '绩效奖金', '岗位晋升', '领导好']",开发|测试|运维类,数据开发,数据分析,上海,长宁区,25k-50k,15,3-5年,全职,本科,大平台，强技术,31.218123,121.375077,['数据分析']
7,高级数据分析工程师,百度,2000人以上,工具,不需要融资,"['股票期权', '弹性工作', '五险一金', '免费班车']",开发|测试|运维类,数据开发,数据开发,北京,未知,30k-60k,15,不限,全职,本科,大厂、薪酬待遇、发展前景,,,"['数据库开发', '数据分析', '数据挖掘']"
8,数据分析师,阿卡索外教网,2000人以上,"教育,移动互联网",C轮,"['带薪年假', '弹性工作', '美女多', '领导好']",产品|需求|项目类,数据分析,商业,深圳,罗湖区,15k-30k,0,在校/应届,全职,大专,五险一金，双休，错峰上班,22.540801,114.121301,"['商业', 'BI', '数据分析']"
9,高级/资深数据分析师【用户增长】,跟谁学,2000人以上,"移动互联网,教育",上市公司,"['节日礼物', '技能培训', '股票期权', '精英团队']",产品|需求|项目类,数据分析,数据分析,北京,海淀区,20k-40k,0,3-5年,全职,本科,六险一金、绩效奖金,40.048632,116.282935,"['BI', '数据运营', '商业', '数据分析']"
